city,week_day,date,temp_low1,time1,temp_high1,NA1,NA2,temp_low2,time2,temp_high2,NA3,NA4,temp_low3,time3,temp_high3,NA5,NA6,temp_low4,time4,temp_high4,NA7,NA8
cleveland,Sun, May 12,46,12am,48,NA,NA,48,6am,52,NA,NA,52,12pm,54,NA,NA,48,6pm,52,NA,NA
cleveland,Mon, May 13,46,12am,48,NA,NA,46,6am,48,NA,NA,46,12pm,48,NA,NA,46,6pm,48,NA,NA
cleveland,Tue, May 14,45,12am,46,NA,NA,46,6am,55,NA,NA,55,12pm,63,NA,NA,52,6pm,63,NA,NA
cleveland,Wed, May 15,46,12am,52,NA,NA,48,6am,68,NA,NA,68,12pm,72,NA,NA,61,6pm,70,NA,NA
cleveland,Thu, May 16,55,12am,61,NA,NA,52,6am,72,NA,NA,73,12pm,75,NA,NA,70,6pm,75,NA,NA
cleveland,Fri, May 17,64,12am,68,NA,NA,55,6am,64,NA,NA,55,12pm,61,NA,NA,57,6pm,57,NA,NA
cleveland,Sat, May 18,54,12am,55,NA,NA,52,6am,68,NA,NA,75,12pm,84,NA,NA,72,6pm,79,NA,NA
cleveland,Sun, May 19,72,12am,75,NA,NA,72,6am,84,NA,NA,75,12pm,84,NA,NA,63,6pm,66,NA,NA
cleveland,Mon, May 20,64,12am,66,NA,NA,63,6am,64,NA,NA,57,12pm,63,NA,NA,48,6pm,57,NA,NA
cleveland,Tue, May 21,46,12am,50,NA,NA,48,6am,55,NA,NA,55,12pm,59,NA,NA,54,6pm,61,NA,NA
cleveland,Wed, May 22,54,12am,57,NA,NA,57,6am,70,NA,NA,70,12pm,79,NA,NA,66,6pm,73,NA,NA
cleveland,Thu, May 23,64,12am,70,NA,NA,70,6am,79,NA,NA,81,12pm,82,NA,NA,66,6pm,79,NA,NA
cleveland,Fri, May 24,54,12am,64,NA,NA,55,6am,68,NA,NA,66,12pm,72,NA,NA,64,6pm,68,NA,NA
cleveland,Sat, May 25,63,12am,68,NA,NA,70,6am,84,NA,NA,75,12pm,90,NA,NA,72,6pm,75,NA,NA
cleveland,Sun, May 26,70,12am,70,NA,NA,70,6am,73,NA,NA,66,12pm,75,NA,NA,61,6pm,66,NA,NA
cleveland,Mon, May 27,52,12am,57,NA,NA,54,6am,68,NA,NA,70,12pm,72,NA,NA,64,6pm,68,NA,NA
cleveland,Tue, May 28,64,12am,68,NA,NA,72,6am,81,NA,NA,75,12pm,82,NA,NA,64,6pm,73,NA,NA
cleveland,Wed, May 29,57,12am,64,NA,NA,61,6am,70,NA,NA,61,12pm,70,NA,NA,63,6pm,72,NA,NA
cleveland,Thu, May 30,61,12am,64,NA,NA,64,6am,73,NA,NA,64,12pm,73,NA,NA,63,6pm,64,NA,NA
cleveland,Fri, May 31,57,12am,63,NA,NA,59,6am,73,NA,NA,75,12pm,79,NA,NA,70,6pm,77,NA,NA
cleveland,Sat, Jun 1,64,12am,66,NA,NA,64,6am,79,NA,NA,64,12pm,82,NA,NA,63,6pm,64,NA,NA
cleveland,Sun, Jun 2,61,12am,63,NA,NA,57,6am,63,NA,NA,61,12pm,68,NA,NA,61,6pm,66,NA,NA
cleveland,Mon, Jun 3,52,12am,57,NA,NA,52,6am,57,NA,NA,57,12pm,61,NA,NA,52,6pm,61,NA,NA
cleveland,Tue, Jun 4,50,12am,52,NA,NA,54,6am,72,NA,NA,72,12pm,73,NA,NA,68,6pm,73,NA,NA
cleveland,Wed, Jun 5,63,12am,66,NA,NA,64,6am,70,NA,NA,70,12pm,75,NA,NA,66,6pm,73,NA,NA
cleveland,Thu, Jun 6,57,12am,66,NA,NA,57,6am,61,NA,NA,63,12pm,70,NA,NA,61,6pm,66,NA,NA
cleveland,Fri, Jun 7,55,12am,57,NA,NA,57,6am,72,NA,NA,72,12pm,73,NA,NA,70,6pm,73,NA,NA
cleveland,Sat, Jun 8,64,12am,70,NA,NA,64,6am,79,NA,NA,79,12pm,82,NA,NA,73,6pm,81,NA,NA
cleveland,Sun, Jun 9,70,12am,73,NA,NA,70,6am,81,NA,NA,81,12pm,82,NA,NA,72,6pm,81,NA,NA
cleveland,Mon, Jun 10,68,12am,70,NA,NA,68,6am,75,NA,NA,63,12pm,72,NA,NA,59,6pm,64,NA,NA
cleveland,Tue, Jun 11,50,12am,59,NA,NA,54,6am,70,NA,NA,72,12pm,75,NA,NA,59,6pm,73,NA,NA
cleveland,Wed, Jun 12,55,12am,57,NA,NA,59,6am,72,NA,NA,73,12pm,77,NA,NA,63,6pm,75,NA,NA
cleveland,Thu, Jun 13,63,12am,63,NA,NA,63,6am,68,NA,NA,59,12pm,70,NA,NA,55,6pm,57,NA,NA
cleveland,Fri, Jun 14,50,12am,55,NA,NA,52,6am,68,NA,NA,70,12pm,73,NA,NA,66,6pm,73,NA,NA
cleveland,Sat, Jun 15,64,12am,64,NA,NA,64,6am,66,NA,NA,66,12pm,70,NA,NA,66,6pm,66,NA,NA
cleveland,Sun, Jun 16,66,12am,66,NA,NA,66,6am,68,NA,NA,64,12pm,73,NA,NA,61,6pm,63,NA,NA
cleveland,Mon, Jun 17,63,12am,63,NA,NA,63,6am,66,NA,NA,66,12pm,70,NA,NA,64,6pm,66,NA,NA
cleveland,Tue, Jun 18,63,12am,64,NA,NA,63,6am,72,NA,NA,73,12pm,75,NA,NA,64,6pm,73,NA,NA
cleveland,Wed, Jun 19,61,12am,64,NA,NA,63,6am,79,NA,NA,77,12pm,79,NA,NA,70,6pm,73,NA,NA
cleveland,Thu, Jun 20,66,12am,70,NA,NA,64,6am,70,NA,NA,66,12pm,72,NA,NA,63,6pm,66,NA,NA
cleveland,Fri, Jun 21,61,12am,63,NA,NA,61,6am,72,NA,NA,73,12pm,75,NA,NA,63,6pm,75,NA,NA
cleveland,Sat, Jun 22,55,12am,63,NA,NA,57,6am,72,NA,NA,72,12pm,73,NA,NA,63,6pm,75,NA,NA
